ID,Name,Group,Prefixes,Tenant,Status,Role,Description,Tags,Site
505,v505,,&mdash;,,Active,&mdash;,"gsic,cc",,
506,v506,,&mdash;,,Active,&mdash;,c.506,,
507,v507,,&mdash;,,Active,&mdash;,sci.507,,
508,v508,,&mdash;,,Active,&mdash;,ctrl.508,,
509,v509,,&mdash;,,Active,&mdash;,iir.509,,
510,v510,,&mdash;,,Active,&mdash;,jim-kenkyu2,,
512,v512,,&mdash;,,Active,&mdash;,oil,,
513,v513,,&mdash;,,Active,&mdash;,t2r2,,
514,v514,,&mdash;,,Active,&mdash;,iir,,
515,v515,,&mdash;,,Active,&mdash;,irds,,
516,v516,,&mdash;,,Active,&mdash;,mac,,
517,v517,,&mdash;,,Active,&mdash;,ens,,
518,v518,,&mdash;,,Active,&mdash;,dis,,
519,v519,,&mdash;,,Active,&mdash;,dis,,
521,v521,,&mdash;,,Active,&mdash;,dis,,
523,v523,,&mdash;,,Active,&mdash;,iidp,,
524,v524,,&mdash;,,Active,&mdash;,gsic,,
526,v526,,&mdash;,,Active,&mdash;,gsic,,
528,v528,,&mdash;,,Active,&mdash;,irds,,
530,v530,,&mdash;,,Active,&mdash;,rpd,,
532,v532,,&mdash;,,Active,&mdash;,cert,,
533,v533,,&mdash;,,Active,&mdash;,t2r2,,
534,v534,,&mdash;,,Active,&mdash;,t2r2,,
536,v536,,&mdash;,,Active,&mdash;,"elsi,private",,
537,v537,,&mdash;,,Active,&mdash;,cent,,
538,v538,,&mdash;,,Active,&mdash;,mces,,
539,v539,,&mdash;,,Active,&mdash;,coi-happiness,,
540,v540,,&mdash;,,Active,&mdash;,coi-happiness,,
541,v541,,&mdash;,,Active,&mdash;,IR-situ,,
542,v542,,&mdash;,,Active,&mdash;,cradle,,
543,v543,,&mdash;,,Active,&mdash;,cradle,,
546,v546,,&mdash;,,Active,&mdash;,rcltp,,
552,v552,,&mdash;,,Active,&mdash;,gakuseisien,,
553,v553,,&mdash;,,Active,&mdash;,gakuseisien,,
554,v554,,&mdash;,,Active,&mdash;,csi,,
555,v555,,&mdash;,,Active,&mdash;,hum,,
556,v556,,&mdash;,,Active,&mdash;,hum,,
557,v557,,&mdash;,,Active,&mdash;,hum,,
558,v558,,&mdash;,,Active,&mdash;,hum,,
559,v559,,&mdash;,,Active,&mdash;,hum,,
560,v560,,&mdash;,,Active,&mdash;,hum,,
561,v561,,&mdash;,,Active,&mdash;,valdes,,
562,v562,,&mdash;,,Active,&mdash;,valdes,,
569,v569,,&mdash;,,Active,&mdash;,dst,,
570,v570,,&mdash;,,Active,&mdash;,dst,,
571,v571,,&mdash;,,Active,&mdash;,dst,,
572,v572,,&mdash;,,Active,&mdash;,dst,,
573,v573,,&mdash;,,Active,&mdash;,dst,,
574,v574,,&mdash;,,Active,&mdash;,dst,,
575,v575,,&mdash;,,Active,&mdash;,dst,,
576,v576,,&mdash;,,Active,&mdash;,dst,,
577,v577,,&mdash;,,Active,&mdash;,dst,,
578,v578,,&mdash;,,Active,&mdash;,dst,,
579,v579,,&mdash;,,Active,&mdash;,dst,,
580,v580,,&mdash;,,Active,&mdash;,dst,,
581,v581,,&mdash;,,Active,&mdash;,dst,,
582,v582,,&mdash;,,Active,&mdash;,dst,,
583,v583,,&mdash;,,Active,&mdash;,dst,,
584,v584,,&mdash;,,Active,&mdash;,dst,,
585,v585,,&mdash;,,Active,&mdash;,dst,,
586,v586,,&mdash;,,Active,&mdash;,dst,,
587,v587,,&mdash;,,Active,&mdash;,dst,,
588,v588,,&mdash;,,Active,&mdash;,dst,,
589,v589,,&mdash;,,Active,&mdash;,dst,,
590,v590,,&mdash;,,Active,&mdash;,dst,,
591,v591,,&mdash;,,Active,&mdash;,dst,,
592,v592,,&mdash;,,Active,&mdash;,dst,,
593,v593,,&mdash;,,Active,&mdash;,dst,,
594,v594,,&mdash;,,Active,&mdash;,dst,,
595,v595,,&mdash;,,Active,&mdash;,dst,,
596,v596,,&mdash;,,Active,&mdash;,dst,,
597,v597,,&mdash;,,Active,&mdash;,bio,,
598,v598,,&mdash;,,Active,&mdash;,hokekan,,
599,v599,,&mdash;,,Active,&mdash;,dis,,
601,v601,,&mdash;,,Active,&mdash;,envpro,,
602,v602,,&mdash;,,Active,&mdash;,adm,,
603,v603,,&mdash;,,Active,&mdash;,total,,
604,v604,,&mdash;,,Active,&mdash;,kanshicamera,,
605,v605,,&mdash;,,Active,&mdash;,kuramae,,
606,v606,,&mdash;,,Active,&mdash;,sao,,
607,v607,,&mdash;,,Active,&mdash;,sao,,
608,v608,,&mdash;,,Active,&mdash;,ctrl,,
609,v609,,&mdash;,,Active,&mdash;,ctrl,,
610,v610,,&mdash;,,Active,&mdash;,elsi,,
611,v611,,&mdash;,,Active,&mdash;,ctrl,,
614,v614,,&mdash;,,Active,&mdash;,",cic",,
615,v615,,&mdash;,,Active,&mdash;,ircs,,
616,v616,,&mdash;,,Active,&mdash;,es,,
617,v617,,&mdash;,,Active,&mdash;,es,,
618,v618,,&mdash;,,Active,&mdash;,"sisetu,kanri",,
619,v619,,&mdash;,,Active,&mdash;,"sisetu,server",,
620,v620,,&mdash;,,Active,&mdash;,"sisetu_sogo,air-con-s",,
622,v622,,&mdash;,,Active,&mdash;,jim,,
623,v623,,&mdash;,,Active,&mdash;,igs,,
624,v624,,&mdash;,,Active,&mdash;,"gsic,cc",,
626,v626,,&mdash;,,Active,&mdash;,"gsic,cc",,
628,v628,,&mdash;,,Active,&mdash;,"*,denryoku",,
629,v629,,&mdash;,,Active,&mdash;,"*,denryoku",,
630,v630,,&mdash;,,Active,&mdash;,"*,suido",,
631,v631,,&mdash;,,Active,&mdash;,"*,suido",,
633,v633,,&mdash;,,Active,&mdash;,ee,,
634,v634,,&mdash;,,Active,&mdash;,cent,,
635,v635,,&mdash;,,Active,&mdash;,"eng,annai",,
637,v637,,&mdash;,,Active,&mdash;,midl,,
640,v640,,&mdash;,,Active,&mdash;,nr,,
641,v641,,&mdash;,,Active,&mdash;,math,,
642,v642,,&mdash;,,Active,&mdash;,hpcl,,
644,v644,,&mdash;,,Active,&mdash;,sao,,
645,v645,,&mdash;,,Active,&mdash;,mono,,
646,v646,,&mdash;,,Active,&mdash;,gakuseisien,,
647,v647,,&mdash;,,Active,&mdash;,gakuseisien,,
648,v648,,&mdash;,,Active,&mdash;,dst,,
649,v649,,&mdash;,,Active,&mdash;,tsd,,
650,v650,,&mdash;,,Active,&mdash;,tsd,,
651,v651,,&mdash;,,Active,&mdash;,eae,,
652,v652,,&mdash;,,Active,&mdash;,"gsic,cc",,
655,v655,,&mdash;,,Active,&mdash;,"sao,syoumeisyo",,
656,v656,,&mdash;,,Active,&mdash;,irs,,
657,v657,,&mdash;,,Active,&mdash;,igs,,
660,v660,,&mdash;,,Active,&mdash;,ipo,,
664,v664,,&mdash;,,Active,&mdash;,eng,,
665,v665,,&mdash;,,Active,&mdash;,math,,
668,v668,,&mdash;,,Active,&mdash;,res,,
670,v670,,&mdash;,,Active,&mdash;,"gsic,cc",,
671,v671,,&mdash;,,Active,&mdash;,ee,,
673,v673,,&mdash;,,Active,&mdash;,dis,,
677,v677,,&mdash;,,Active,&mdash;,gsic,,
678,v678,,&mdash;,,Active,&mdash;,gsic,,
679,v679,,&mdash;,,Active,&mdash;,gsic,,
680,v680,,&mdash;,,Active,&mdash;,ties,,
681,v681,,&mdash;,,Active,&mdash;,acls.681,,
682,v682,,&mdash;,,Active,&mdash;,liberal,,
683,v683,,&mdash;,,Active,&mdash;,gsic,,
684,v684,,&mdash;,,Active,&mdash;,"gsic,cc",,
688,v688,,&mdash;,,Active,&mdash;,cradle,,
691,v691,,&mdash;,,Active,&mdash;,ce,,
692,v692,,&mdash;,,Active,&mdash;,dis,,
693,v693,,&mdash;,,Active,&mdash;,iri,,
694,v694,,&mdash;,,Active,&mdash;,bio,,
695,v695,,&mdash;,,Active,&mdash;,bio,,
697,v697,,&mdash;,,Active,&mdash;,bio,,
698,v698,,&mdash;,,Active,&mdash;,dis,,
701,v701,,&mdash;,,Active,&mdash;,dis,,
702,v702,,&mdash;,,Active,&mdash;,dis,,
703,v703,,&mdash;,,Active,&mdash;,bio,,
705,v705,,&mdash;,,Active,&mdash;,ide,,
706,v706,,&mdash;,,Active,&mdash;,bio,,
709,v709,,&mdash;,,Active,&mdash;,"sao,TVkougi-o",,
710,v710,,&mdash;,,Active,&mdash;,ep,,
711,v711,,&mdash;,,Active,&mdash;,iem,,
712,v712,,&mdash;,,Active,&mdash;,rcd,,
714,v714,,&mdash;,,Active,&mdash;,bio,,
715,v715,,&mdash;,,Active,&mdash;,mono,,
716,v716,,&mdash;,,Active,&mdash;,mono,,
717,v717,,&mdash;,,Active,&mdash;,afs,,
718,v718,,&mdash;,,Active,&mdash;,bio,,
720,suzukake-v6,,&mdash;,,Active,&mdash;,,,
721,v721,,&mdash;,,Active,&mdash;,vbl,,
725,v725,,&mdash;,,Active,&mdash;,phys,,
726,v726,,&mdash;,,Active,&mdash;,apc,,
727,v727,,&mdash;,,Active,&mdash;,chemeng,,
728,v728,,&mdash;,,Active,&mdash;,mep,,
729,v729,,&mdash;,,Active,&mdash;,rcd2,,
730,v730,,&mdash;,,Active,&mdash;,ctrl,,
731,v731,,&mdash;,,Active,&mdash;,mot,,
733,v733,,&mdash;,,Active,&mdash;,eng,,
734,v734,,&mdash;,,Active,&mdash;,bande,,
735,v735,,&mdash;,,Active,&mdash;,rcltp,,
736,v736,,&mdash;,,Active,&mdash;,ksvo,,
737,v737,,&mdash;,,Active,&mdash;,ceram,,
738,v738,,&mdash;,,Active,&mdash;,op,,
739,v739,,&mdash;,,Active,&mdash;,ksvo,,
740,v740,,&mdash;,,Active,&mdash;,alcs,,
741,v741,,&mdash;,,Active,&mdash;,is,,
742,v742,,&mdash;,,Active,&mdash;,is,,
743,v743,,&mdash;,,Active,&mdash;,flc,,
744,v744,,&mdash;,,Active,&mdash;,mei,,
745,v745,,&mdash;,,Active,&mdash;,mei,,
746,v746,,&mdash;,,Active,&mdash;,mei,,
747,v747,,&mdash;,,Active,&mdash;,mei,,
752,v752,,&mdash;,,Active,&mdash;,mei,,
753,v753,,&mdash;,,Active,&mdash;,mei,,
754,v754,,&mdash;,,Active,&mdash;,mei,,
755,v755,,&mdash;,,Active,&mdash;,mei,,
756,v756,,&mdash;,,Active,&mdash;,gh4,,
757,v757,,&mdash;,,Active,&mdash;,mes,,
758,v758,,&mdash;,,Active,&mdash;,mes,,
759,v759,,&mdash;,,Active,&mdash;,mes,,
761,v761,,&mdash;,,Active,&mdash;,pi,,
764,v764,,&mdash;,,Active,&mdash;,mep,,
765,v765,,&mdash;,,Active,&mdash;,dst,,
768,v768,,&mdash;,,Active,&mdash;,phys3,,
769,v769,,&mdash;,,Active,&mdash;,phys3,,
770,v770,,&mdash;,,Active,&mdash;,phys,,
771,v771,,&mdash;,,Active,&mdash;,phys,,
772,v772,,&mdash;,,Active,&mdash;,sms,,
773,v773,,&mdash;,,Active,&mdash;,sms,,
776,v776,,&mdash;,,Active,&mdash;,craft,,
777,v777,,&mdash;,,Active,&mdash;,nanof,,
779,v779,,&mdash;,,Active,&mdash;,nr,,
780,v780,,&mdash;,,Active,&mdash;,nr,,
782,v782,,&mdash;,,Active,&mdash;,hum,,
783,v783,,&mdash;,,Active,&mdash;,ryu,,
784,v784,,&mdash;,,Active,&mdash;,rps,,
786,v786,,&mdash;,,Active,&mdash;,ap,,
788,v788,,&mdash;,,Active,&mdash;,mech,,
789,v789,,&mdash;,,Active,&mdash;,mech,,
790,v790,,&mdash;,,Active,&mdash;,mech,,
791,v791,,&mdash;,,Active,&mdash;,mech,,
792,v792,,&mdash;,,Active,&mdash;,hst,,
794,v794,,&mdash;,,Active,&mdash;,bio,,
795,v795,,&mdash;,,Active,&mdash;,hokekan,,
797,v797,,&mdash;,,Active,&mdash;,pe,,
798,v798,,&mdash;,,Active,&mdash;,envpro,,
799,v799,,&mdash;,,Active,&mdash;,",t2r2",,
800,v800,,&mdash;,,Active,&mdash;,sns,,
801,v801,,&mdash;,,Active,&mdash;,mes,,
802,v802,,&mdash;,,Active,&mdash;,mech,,
803,v803,,&mdash;,,Active,&mdash;,mech,,
804,v804,,&mdash;,,Active,&mdash;,mech,,
805,v805,,&mdash;,,Active,&mdash;,ctrl,,
806,v806,,&mdash;,,Active,&mdash;,nr,,
807,v807,,&mdash;,,Active,&mdash;,ctrl,,
808,v808,,&mdash;,,Active,&mdash;,total,,
809,v809,,&mdash;,,Active,&mdash;,jim,,
810,v810,,&mdash;,,Active,&mdash;,jim,,
811,v811,,&mdash;,,Active,&mdash;,mes,,
812,v812,,&mdash;,,Active,&mdash;,mes,,
813,v813,,&mdash;,,Active,&mdash;,mes,,
814,v814,,&mdash;,,Active,&mdash;,mes,,
815,v815,,&mdash;,,Active,&mdash;,mes,,
816,v816,,&mdash;,,Active,&mdash;,mes,,
817,v817,,&mdash;,,Active,&mdash;,mes,,
821,v821,,&mdash;,,Active,&mdash;,ryu,,
822,v822,,&mdash;,,Active,&mdash;,ryu,,
823,v823,,&mdash;,,Active,&mdash;,ryu,,
824,v824,,&mdash;,,Active,&mdash;,mes,,
825,v825,,&mdash;,,Active,&mdash;,rps,,
826,v826,,&mdash;,,Active,&mdash;,math,,
828,v828,,&mdash;,,Active,&mdash;,sangaku,,
829,v829,,&mdash;,,Active,&mdash;,polymer,,
830,v830,,&mdash;,,Active,&mdash;,polymer,,
831,v831,,&mdash;,,Active,&mdash;,ide,,
832,v832,,&mdash;,,Active,&mdash;,kyoiku-in,,
833,v833,,&mdash;,,Active,&mdash;,chem,,
834,v834,,&mdash;,,Active,&mdash;,cv,,
836,v836,,&mdash;,,Active,&mdash;,cv,,
837,v837,,&mdash;,,Active,&mdash;,is,,
838,v838,,&mdash;,,Active,&mdash;,ide,,
839,v839,,&mdash;,,Active,&mdash;,ide,,
840,v840,,&mdash;,,Active,&mdash;,ide,,
842,v842,,&mdash;,,Active,&mdash;,chem,,
843,v843,,&mdash;,,Active,&mdash;,ee,,
844,v844,,&mdash;,,Active,&mdash;,ctrl,,
845,v845,,&mdash;,,Active,&mdash;,"somuka,TTF-kansihi-camera",,
846,v846,,&mdash;,,Active,&mdash;,ctrl,,
847,v847,,&mdash;,,Active,&mdash;,ctrl,,
848,v848,,&mdash;,,Active,&mdash;,ctrl,,
849,v849,,&mdash;,,Active,&mdash;,ctrl,,
850,v850,,&mdash;,,Active,&mdash;,ctrl,,
851,v851,,&mdash;,,Active,&mdash;,ctrl,,
852,v852,,&mdash;,,Active,&mdash;,rps,,
855,v855,,&mdash;,,Active,&mdash;,bio,,
856,v856,,&mdash;,,Active,&mdash;,",kenkyusien2",,
858,v858,,&mdash;,,Active,&mdash;,chemeng,,
859,v859,,&mdash;,,Active,&mdash;,polymer,,
860,v860,,&mdash;,,Active,&mdash;,nr,,
861,v861,,&mdash;,,Active,&mdash;,math,,
862,v862,,&mdash;,,Active,&mdash;,enveng,,
863,v863,,&mdash;,,Active,&mdash;,ssr,,
864,v864,,&mdash;,,Active,&mdash;,op,,
865,v865,,&mdash;,,Active,&mdash;,bio,,
870,v870,,&mdash;,,Active,&mdash;,bio,,
871,v871,,&mdash;,,Active,&mdash;,math,,
872,v872,,&mdash;,,Active,&mdash;,mue,,
874,v874,,&mdash;,,Active,&mdash;,libra,,
875,v875,,&mdash;,,Active,&mdash;,e.,,
876,v876,,&mdash;,,Active,&mdash;,gsic,,
878,v878,,&mdash;,,Active,&mdash;,nr,,
883,v883,,&mdash;,,Active,&mdash;,nr,,
884,v884,,&mdash;,,Active,&mdash;,nr,,
885,v885,,&mdash;,,Active,&mdash;,nr,,
886,v886,,&mdash;,,Active,&mdash;,eng,,
887,v887,,&mdash;,,Active,&mdash;,"*,cc",,
888,v888,,&mdash;,,Active,&mdash;,arch,,
889,v889,,&mdash;,,Active,&mdash;,fcrc,,
892,v892,,&mdash;,,Active,&mdash;,hum,,
893,v893,,&mdash;,,Active,&mdash;,depe,,
894,v894,,&mdash;,,Active,&mdash;,depe,,
895,v895,,&mdash;,,Active,&mdash;,depe,,
897,v897,,&mdash;,,Active,&mdash;,"*,suzu-kanshi-camera",,
899,v899,,&mdash;,,Active,&mdash;,es,,
900,v900,,&mdash;,,Active,&mdash;,pms,,
901,v901,,&mdash;,,Active,&mdash;,depe,,
902,v902,,&mdash;,,Active,&mdash;,depe,,
904,v904,,&mdash;,,Active,&mdash;,geo,,
906,v906,,&mdash;,,Active,&mdash;,mtl,,
907,v907,,&mdash;,,Active,&mdash;,es,,
908,v908,,&mdash;,,Active,&mdash;,materia,,
909,v909,,&mdash;,,Active,&mdash;,"sisetu_sogo,air-con-o",,
910,v910,,&mdash;,,Active,&mdash;,es,,
911,v911,,&mdash;,,Active,&mdash;,es,,
912,v912,,&mdash;,,Active,&mdash;,es,,
913,v913,,&mdash;,,Active,&mdash;,es,,
914,v914,,&mdash;,,Active,&mdash;,enveng,,
915,v915,,&mdash;,,Active,&mdash;,hokekan,,
916,v916,,&mdash;,,Active,&mdash;,ryu,,
918,v918,,&mdash;,,Active,&mdash;,ric,,
919,v919,,&mdash;,,Active,&mdash;,ric,,
920,v920,,&mdash;,,Active,&mdash;,ide,,
921,v921,,&mdash;,,Active,&mdash;,ce,,
922,v922,,&mdash;,,Active,&mdash;,kyoiku-in,,
923,v923,,&mdash;,,Active,&mdash;,"sisetu_anzen,kinkyu-s",,
924,v924,,&mdash;,,Active,&mdash;,chemenv,,
925,v925,,&mdash;,,Active,&mdash;,"sisetu_anzen,kinkyu-o",,
926,v926,,&mdash;,,Active,&mdash;,echem,,
927,v927,,&mdash;,,Active,&mdash;,fcrc,,
928,v928,,&mdash;,,Active,&mdash;,gsic,,
930,v930,,&mdash;,,Active,&mdash;,pe,,
931,v931,,&mdash;,,Active,&mdash;,pe,,
932,v932,,&mdash;,,Active,&mdash;,pe,,
934,v934,,&mdash;,,Active,&mdash;,pi,,
935,v935,,&mdash;,,Active,&mdash;,pi,,
936,v936,,&mdash;,,Active,&mdash;,pi,,
937,v937,,&mdash;,,Active,&mdash;,pi,,
938,v938,,&mdash;,,Active,&mdash;,msl,,
939,v939,,&mdash;,,Active,&mdash;,"""waf(w2)""",,
946,v946,,&mdash;,,Active,&mdash;,hum,,
947,noc-serv-s,,&mdash;,,Active,&mdash;,noc-serv-s,,
948,v948,,&mdash;,,Active,&mdash;,ce,,
949,v949,,&mdash;,,Active,&mdash;,arch,,
950,v950,,&mdash;,,Active,&mdash;,ce,,
951,v951,,&mdash;,,Active,&mdash;,is,,
953,v953,,&mdash;,,Active,&mdash;,gsic,,
954,v954,,&mdash;,,Active,&mdash;,gsic,,
955,v955,,&mdash;,,Active,&mdash;,gsic,,
956,v956,,&mdash;,,Active,&mdash;,gsic,,
957,v957,,&mdash;,,Active,&mdash;,me,,
958,v958,,&mdash;,,Active,&mdash;,soc,,
959,v959,,&mdash;,,Active,&mdash;,hum,,
960,v960,,&mdash;,,Active,&mdash;,valdes,,
961,v961,,&mdash;,,Active,&mdash;,bio,,
962,v962,,&mdash;,,Active,&mdash;,gsic.962,,
963,v963,,&mdash;,,Active,&mdash;,cradle,,
965,v965,,&mdash;,,Active,&mdash;,ocw,,
966,v966,,&mdash;,,Active,&mdash;,"sisetu_anzen,kinkyu-t",,
